#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AdobeFlashPlayerUpdateSvc","System.ServiceProcess.ServiceController[]","False","False","False","Adobe Flash Player Update Service","System.ServiceProcess.ServiceController[]",".","AdobeFlashPlayerUpdateSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AeLookupSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Experience","System.ServiceProcess.ServiceController[]",".","AeLookupSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","False","False","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"aspnet_state","System.ServiceProcess.ServiceController[]","False","False","False","ASP.NET State Service","System.ServiceProcess.ServiceController[]",".","aspnet_state","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Browser","System.ServiceProcess.ServiceController[]","False","False","False","Computer Browser","System.ServiceProcess.ServiceController[]",".","Browser","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BthHFSrv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Handsfree Service","System.ServiceProcess.ServiceController[]",".","BthHFSrv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"cphs","System.ServiceProcess.ServiceController[]","False","False","False","Intel(R) Content Protection HECI Service","System.ServiceProcess.ServiceController[]",".","cphs","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Wired AutoConfig","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Setup Manager","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Eaphost","System.ServiceProcess.ServiceController[]","False","False","False","Extensible Authentication Protocol","System.ServiceProcess.ServiceController[]",".","Eaphost","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Fax","System.ServiceProcess.ServiceController[]","False","False","False","Fax","System.ServiceProcess.ServiceController[]",".","Fax","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","False","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","File History Service","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","False","Group Policy Client","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Automatic",,
"gupdate","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdate)","System.ServiceProcess.ServiceController[]",".","gupdate","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"gupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdatem)","System.ServiceProcess.ServiceController[]",".","gupdatem","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
